,order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,day,year_month
3,949d5b44dbf5de918fe9c16f97b45f8a,f88197465ea7920adcdbec7375364d82,delivered,2017-11-18 19:28:06,2017-11-18 19:45:59,2017-11-22 13:39:59,2017-12-02 00:28:42,2017-12-15 00:00:00,2017-11-18,2017-11
18,85ce859fd6dc634de8d2f1e290444043,059f7fc5719c7da6cbafe370971a8d70,delivered,2017-11-21 00:03:41,2017-11-21 00:14:22,2017-11-23 21:32:26,2017-11-27 18:28:00,2017-12-11 00:00:00,2017-11-21,2017-11
41,6ea2f835b4556291ffdc53fa0b3b95e8,c7340080e394356141681bd4c9b8fe31,delivered,2017-11-24 21:27:48,2017-11-25 00:21:09,2017-12-13 21:14:05,2017-12-28 18:59:23,2017-12-21 00:00:00,2017-11-24,2017-11
60,68873cf91053cd11e6b49a766db5af1a,4632eb5a8f175f6fe020520ae0c678f3,delivered,2017-11-30 22:02:15,2017-12-02 02:51:18,2017-12-04 22:07:01,2017-12-05 20:28:40,2017-12-18 00:00:00,2017-11-30,2017-11
62,8f06cc6465925031568537b815f1198d,9916715c2ab6ee1710c9c32f0a534ad2,delivered,2017-11-15 11:31:41,2017-11-15 11:46:42,2017-11-16 22:03:00,2017-11-22 22:41:07,2017-12-05 00:00:00,2017-11-15,2017-11
97,6a0a8bfbbe700284feb0845d95e0867f,68451b39b1314302c08c65a29f1140fc,delivered,2017-11-22 11:32:22,2017-11-22 11:46:50,2017-11-27 13:39:35,2017-12-28 19:43:00,2017-12-11 00:00:00,2017-11-22,2017-11
110,9d531c565e28c3e0d756192f84d8731f,d4faa220408c20e53595d2950f361f3b,delivered,2017-11-28 21:00:44,2017-12-01 09:31:15,2017-12-14 20:37:43,2018-01-23 21:38:52,2017-12-22 00:00:00,2017-11-28,2017-11
115,8fc207e94fa91a7649c5a5dab690272a,c69f8b33e62ecb30ff78ae46d7fb9241,delivered,2017-11-26 17:49:46,2017-11-26 17:58:34,2017-11-28 23:17:09,2018-01-20 13:42:22,2017-12-19 00:00:00,2017-11-26,2017-11
125,b01875821b8dcb6abc61776f0f971bce,818596f5b68adfe2c11498ebb6d39e02,delivered,2017-11-24 21:55:22,2017-11-25 01:31:43,2017-11-28 22:37:15,2017-12-01 21:11:40,2017-12-15 00:00:00,2017-11-24,2017-11
129,5447160f15621601fa9ba2b94f4906b3,9c338ea8093192e203bc16add78c123c,delivered,2017-11-21 12:08:32,2017-11-21 12:40:55,2017-11-22 20:17:08,2017-11-28 20:33:38,2017-12-14 00:00:00,2017-11-21,2017-11
146,62a12e4d2a742b2491d7c00d2d79bf52,b60550c21000f91484c7d2aa2b8c522e,delivered,2017-11-27 19:24:52,2017-11-27 19:39:02,2017-11-28 22:58:14,2017-12-08 15:41:46,2017-12-27 00:00:00,2017-11-27,2017-11
149,04a59fe46fc5aa341da5378c195ed53c,2d8748fb35d51c2fd273ee67fff78b7a,delivered,2017-11-26 09:32:06,2017-11-28 09:35:11,2017-11-28 19:18:52,2017-12-11 19:03:18,2017-12-19 00:00:00,2017-11-26,2017-11
150,86b37610c0e86e94afe3d5ba4b73fa14,86ff82570097f39b2193254f540e4a69,delivered,2017-11-17 21:14:42,2017-11-22 02:49:29,2017-11-22 17:37:09,2017-12-05 20:23:33,2017-12-20 00:00:00,2017-11-17,2017-11
166,1370fae9b19ee5e01a2d609eb18b7c8a,22eb8142d6313bab19fa6c657170ae6b,delivered,2017-11-15 13:47:34,2017-11-15 13:55:31,2017-11-17 15:12:12,2017-12-06 01:12:12,2017-12-14 00:00:00,2017-11-15,2017-11
207,f9f76d0f8ab416a42a2a3dad0d710162,e4a32f8f3648818820a821cd577ccdba,delivered,2017-11-30 22:37:50,2017-12-01 10:31:12,2017-12-01 20:13:00,2017-12-08 20:56:54,2017-12-26 00:00:00,2017-11-30,2017-11
219,95a74a28d622001aafb5dd088ea0d88c,b3519c0352b07bc3017acebea4ce6724,delivered,2017-11-16 14:32:06,2017-11-17 14:25:26,2017-11-20 12:49:03,2017-11-29 00:44:50,2017-12-06 00:00:00,2017-11-16,2017-11
231,4d630f57194f5aba1a3d12ce23e71cd9,6d491c9fe2f04f6e2af6ec033cd8907c,shipped,2017-11-17 19:53:21,2017-11-18 19:50:31,2017-11-22 17:28:34,,2017-12-13 00:00:00,2017-11-17,2017-11
237,c263211bd219538f7c031591e87ef0d7,ed8c52327eecff596e141636d5b556d2,delivered,2017-11-24 16:56:46,2017-11-28 03:48:24,2017-12-08 23:28:26,2017-12-18 20:24:54,2017-12-19 00:00:00,2017-11-24,2017-11
240,17c2ee64306efa76f1389315a974eeba,79c102ed4db4e20845856cd68660f8f6,delivered,2017-11-29 17:43:34,2017-11-29 19:16:55,2017-12-02 14:24:58,2017-12-12 22:32:47,2017-12-26 00:00:00,2017-11-29,2017-11
254,248ff7b41bfa395f5ee828720889e664,754862f813b4662e840ff16a52db05f0,delivered,2017-11-17 13:12:47,2017-11-17 13:35:40,2017-11-21 18:18:35,2017-11-27 20:41:48,2017-12-12 00:00:00,2017-11-17,2017-11
265,fb9b2930f4a30f96c7cc98eaaa85e5f0,02ed2cff54eb047cdbe79dd0535945d4,delivered,2017-11-24 14:15:53,2017-11-24 16:19:01,2017-11-30 18:18:50,2017-12-17 10:47:53,2017-12-14 00:00:00,2017-11-24,2017-11
266,8e24261a7e58791d10cb1bf9da94df5c,64a254d30eed42cd0e6c36dddb88adf0,unavailable,2017-11-16 15:09:28,2017-11-16 15:26:57,,,2017-12-05 00:00:00,2017-11-16,2017-11
272,56bd45163229b35ca0ab490c1e3d3233,f8975f0842ae1e4670a410a02b1b5053,delivered,2017-11-28 21:07:26,2017-11-28 21:17:25,2017-12-04 21:37:41,2017-12-12 20:22:51,2017-12-18 00:00:00,2017-11-28,2017-11
281,6d231a099f98f5a590ad78db56ae82f1,6ee311afc0adb5663ad53868d46ba39d,delivered,2017-11-11 22:16:49,2017-11-11 22:30:25,2017-11-13 21:32:01,2017-11-16 21:48:37,2017-11-27 00:00:00,2017-11-11,2017-11
284,52e5445828db681d83dccb33a15ecac4,d42ee2c04270ba237933c8bdd5e1c761,delivered,2017-11-24 17:37:41,2017-11-24 20:56:27,2017-11-27 15:12:48,2017-12-19 14:19:22,2017-12-27 00:00:00,2017-11-24,2017-11
288,9f882c1f904b7dd156572ada58d7a7ae,843ff05b30ce4f75b6170b39c78a8ee5,delivered,2017-11-13 10:07:36,2017-11-13 10:16:29,2017-12-01 23:19:42,2017-12-11 17:38:06,2017-12-22 00:00:00,2017-11-13,2017-11
317,31ef15cb5a3faa4df17e96b09cd8c1a1,19c6be9e0d7588d54ad848d44abeae95,delivered,2017-11-29 18:27:30,2017-11-29 19:31:02,2017-11-30 22:32:54,2017-12-11 21:44:51,2017-12-22 00:00:00,2017-11-29,2017-11
336,d7f4e2f755cf2f40aa7c39804cfe01c4,18ad705482141f60ad05945506ef2b9e,delivered,2017-11-26 12:50:56,2017-11-26 13:14:18,2017-12-01 16:52:08,2017-12-08 17:02:43,2017-12-20 00:00:00,2017-11-26,2017-11
355,3f596c69e8e78788530d898331118c7c,6230e4c4b38009c58b83aa90c2603ed9,delivered,2017-11-25 16:23:49,2017-11-25 16:34:24,2017-12-01 00:16:56,2017-12-12 00:35:02,2017-12-21 00:00:00,2017-11-25,2017-11
368,59d34e1064930d037d30041b73683aa7,8397274a8680c08c3208912c33d63809,delivered,2017-11-09 21:08:01,2017-11-09 21:31:38,2017-11-10 21:58:38,2017-11-16 16:52:00,2017-11-29 00:00:00,2017-11-09,2017-11
377,6b7c5703bdc03335b37020877a06625e,9ce1401cf82bd5420fe255e02d6292ba,delivered,2017-11-24 01:34:00,2017-11-24 01:49:32,2017-11-30 23:38:27,2017-12-03 15:36:44,2017-12-15 00:00:00,2017-11-24,2017-11
381,ed01ce003df13cab401ba2ff57ea2542,fd24f53c8ce3ad467b44627306e0db30,delivered,2017-11-06 18:20:00,2017-11-07 03:31:21,2017-11-10 14:06:42,2017-11-14 18:05:15,2017-11-17 00:00:00,2017-11-06,2017-11
389,05387d537bd2e5027aadbfb6a5123e4b,1fc77bb785f297743a18fac02b30de62,delivered,2017-11-06 16:24:03,2017-11-06 23:31:52,2017-11-08 17:55:40,2017-11-20 18:36:52,2017-11-29 00:00:00,2017-11-06,2017-11
400,b0ff8ff92f8d916fa2e8005cd8e1a135,610a4163b8ab832daf93b4fbb48e9119,delivered,2017-11-19 16:12:34,2017-11-22 02:58:38,2017-11-22 14:47:28,2017-11-24 20:32:37,2017-12-07 00:00:00,2017-11-19,2017-11
